Settore Merceologico;Insegna;Ubicazione;Tipo via;Via;Civico;Codice via;ZD;Settore Storico Cf Preval;Superficie Vendita;Superficie Altri Usi;Superficie Tabelle Speciali;Superficie Totale
alimentare;antica torrefaz.riobranco;"PZA INSUBRIA N. 11 ; isolato:127; accesso: accesso esterno; (z.d. 4)";PZA;INSUBRIA;11;3221;4;caffe crudo e torrefatto;47;;;47
alimentare;antichi sapori artigiani;"VIA POLESINE N. 39 ; isolato:055; accesso: accesso esterno; (z.d. 4)";VIA;POLESINE;39;4159;4;panificio (con forno);30;110;;140
alimentare;antico forno;"VIA BERTACCHI GIOVANNI N. 1 ; isolato:095; accesso: accesso esterno; (z.d. 5)";VIA;BERTACCHI GIOVANNI;1;5206;5;panificio (con forno);35;;;35
alimentare;apparec.eletr.cellulari;"VIA MACCHI MAURO N. 44 ; isolato:031; accesso: accesso esterno; (z.d. 2)";VIA;MACCHI MAURO;44;2133;2;apparecch. elettroniche;60;;;60
alimentare;armandola;"VIA DELLA SPIGA N. 50 ;via della spiga 050; isolato:184; accesso: accesso esterno; (z.d. 1)";VIA;DELLA SPIGA;50;226;1;salumeria - rosticceria - cibi;30;25;;55
alimentare;arte della pasta fresca;"VIA QUARENGHI GIACOMO N. 23 ; isolato:300; accesso: accesso interno; (z.d. 8)";VIA;QUARENGHI GIACOMO;23;7478;8;paste alimentari;13;;;13
alimentare;asia mart;"VLE MONTE NERO N. 19 ; isolato:133; accesso: accesso esterno; (z.d. 1)";VLE;MONTE NERO;19;3062;1;drogheria;50;;;50
alimentare;asian grocery;"VIA IMBONATI CARLO N. 10 ; isolato:089; accesso: accesso esterno; (z.d. 9)";VIA;IMBONATI CARLO;10;1311;9;alimentari internazionali;80;;;80
alimentare;asian trading;"CSO LODI num.093/1; isolato:005; accesso: accesso esterno; (z.d. 4)";VLE;UNGHERIA;10;3357;4;alimentari internazionali;36;2;;38
alimentare;backerei srl.;"PZA VENTICINQUE APRILE N. 5 ; isolato:318; accesso: accesso esterno; (z.d. 1)";PZA;VENTICINQUE APRILE;5;1064;9;panetteria;145;;;219
alimentare;backerei srl.;"VIA PONTE VETERO N. 10 ;via ponte vetero 010; isolato:307; accesso: accesso esterno; (z.d. 1)";VIA;PONTE VETERO;10;718;1;panificio (con forno);50;;;150
alimentare;bakeshop panif.pasticceri;"VIA FARINI CARLO N. 75 ; isolato:203; accesso: accesso esterno; (z.d. 9)";VIA;FARINI CARLO;75;1114;9;panificio (con forno);22;60;;82
alimentare;bar;"VIA CARACCIOLO FRANCESCO N. 90 ; isolato:002; accesso: accesso esterno; (z.d. 8)";VIA;CARACCIOLO FRANCESCO;90;7182;8;bar;39;11;;50
alimentare;bar andrea s;"VIA ALBANI FRANCESCO N. 61 ; isolato:165; accesso: accesso esterno; (z.d. 8)";VIA;ALBANI FRANCESCO;61;6399;8;latteria;22;10;;32
alimentare;bar armony;"VIA F.LLI INDUNO N. 28 ; isolato:035; accesso: accesso esterno; (z.d. 8)";VIA;F.LLI INDUNO;28;7217;8;bar;83;;;83
alimentare;bar caffe;"VIA APPENNINI num.011/d; isolato:005; accesso: accesso esterno; (z.d. 8)";VIA;APPENNINI;;7514;8;bar tabacchi;75;;;75
alimentare;bar caffe con alimen.conf;"mm1 duomo codvia 9112 num.000 ; isolato:997; accesso: accesso interno; (z.d. 1)";CSO;DI PORTA ROMANA;25;402;1;bar;100;;;100
alimentare;bar caffetteria;"VIA LUSSU EMILIO N. 6 ; isolato:049; accesso: accesso esterno; (z.d. 2)";VIA;LUSSU EMILIO;6;2629;2;latteria;94;;;94
alimentare;bar caffetteria agora;"PZA CINQUE GIORNATE N. 5 ; isolato:033; accesso: accesso esterno; (z.d. 4)";PZA;CINQUE GIORNATE;5;3053;4;bar;90;;;90
alimentare;bar capriccio;"VIA GRAN SAN BERNARDO num.011/a; isolato:012; accesso: accesso esterno; (z.d. 8)";VIA;GRAN SAN BERNARDO;;7218;8;pasticceria - gelateria;75;;;75
alimentare;bar cuore;"PZA GOBETTI PIETRO N. 19 ; isolato:022; accesso: accesso esterno; (z.d. 3)";PZA;GOBETTI PIETRO;19;2561;3;bar;53;13;;66
alimentare;bar dico;"VIA DEI GRIMANI N. 1 ; isolato:305; accesso: accesso esterno; (z.d. 6)";VIA;DEI GRIMANI;1;6097;6;bar;50;10;;60
alimentare;bar el cafe;"VIA MERAVIGLI N. 16 ;via meravigli 016; isolato:372; accesso: accesso esterno; (z.d. 1)";VIA;MERAVIGLI;16;614;1;posteria - bazar;4;35;;39
alimentare;bar erika;"VIA MONTEPULCIANO N. 8 ; isolato:005; accesso: accesso esterno; (z.d. 3)";VIA;MONTEPULCIANO;8;2257;3;bar;67;;;67
alimentare;bar every day;"VIA DELLE FORZE ARMATE N. 68 ; isolato:195; accesso: accesso esterno; (z.d. 7)";VIA;DELLE FORZE ARMATE;68;6643;7;latteria;18;14;;32
alimentare;bar fantasy;"VIA FANTI MANFREDO N. 2 ; isolato:114; accesso: accesso esterno; (z.d. 1)";VIA;FANTI MANFREDO;2;3149;1;latteria;35;20;;55
alimentare;bar gel;"VIA VIOTTI GIOVANNI BATTISTA N. 25 ; isolato:085; accesso: accesso esterno; (z.d. 3)";VIA;VIOTTI GIOVANNI BATTISTA;25;2581;3;gelateria;50;8;;58
alimentare;bar gelateria;"PLE GAMBARA VERONICA N. 5 ; isolato:019; accesso: accesso esterno; (z.d. 7)";PLE;GAMBARA VERONICA;5;6593;7;bar;18;18;;36
alimentare;bar giulini;"VIA GIULINI GIORGIO N. 5 ;via giulini giorgio 005; isolato:375; accesso: accesso esterno; (z.d. 1)";VIA;GIULINI GIORGIO;5;613;1;bar;53;25;;78
alimentare;bar greedy;"VIA LIVIGNO num.006/a; isolato:086; accesso: accesso esterno; (z.d. 9)";VIA;TARTINI GIUSEPPE;33;1501;9;latteria;44;;;44
alimentare;bar incas;"VIA COLLETTA PIETRO N. 45 ; isolato:177; accesso: accesso esterno; (z.d. 4)";VIA;COLLETTA PIETRO;45;4078;4;bar;45;15;;60
alimentare;bar isy;"VIA CASSINIS GIOVANNI BATTISTA N. 63 ; isolato:076; accesso: accesso esterno; (z.d. 4)";VIA;CASSINIS GIOVANNI BATTISTA;63;4309;4;in attesa di revoca;51;120;;171
alimentare;bar latteria;"VIA ANTONINI GIACOMO N. 58 ; isolato:100; accesso: accesso esterno; (z.d. 5)";VIA;ANTONINI GIACOMO;58;4250;5;latteria;20;14;;34
alimentare;bar latteria;"VIA CABELLA BARTOLOMEO N. 51 ; isolato:151; accesso: accesso esterno; (z.d. 7)";VIA;CABELLA BARTOLOMEO;51;6778;7;latteria;35;8;;43
alimentare;bar latteria;"VIA CICERI VISCONTI LAURA N. 16 ; isolato:081; accesso: accesso esterno; (z.d. 4)";VIA;CICERI VISCONTI LAURA;16;3220;4;latteria;21;27;;48
alimentare;bar latteria;"VIA CICERI VISCONTI LAURA N. 6 ; isolato:081; accesso: accesso esterno; (z.d. 4)";VIA;CICERI VISCONTI LAURA;6;3220;4;latteria;20;;;20
alimentare;bar latteria;"VIA MAROCHETTI CARLO N. 3 ; isolato:065; accesso: accesso esterno; (z.d. 4)";VIA;MAROCHETTI CARLO;3;4185;4;latteria;43;;;48
alimentare;bar latteria;"VIA VAL DI LEDRO N. 11 ; isolato:067; accesso: accesso esterno; (z.d. 9)";VIA;VAL DI LEDRO;11;1532;9;latteria;32;6;;38
alimentare;bar latteria;"VIA VALLAZZE N. 62 ; isolato:048; accesso: accesso esterno; (z.d. 3)";VIA;VALLAZZE;62;2250;3;latteria;44;;;44
alimentare;bar latteria;"VLE FORLANINI ENRICO num.050/6; isolato:044; accesso: accesso esterno; (z.d. 4)";VIA;MECENATE;32;3323;4;latteria;30;10;;40
alimentare;bar-latteria;"VIA VOLTURNO N. 41 ; isolato:278; accesso: accesso esterno; (z.d. 9)";VIA;VOLTURNO;41;1135;9;latteria;37;;;37
alimentare;bar latteria gelateria;"VIA VAL PASSIRIA N. 1 ; isolato:060; accesso: accesso esterno; (z.d. 4)";VIA;VAL PASSIRIA;1;4257;4;latteria;19;10;;29
alimentare;bar latteria mel caffe;"VIA MARCONA N. 90 ; isolato:251; accesso: accesso esterno; (z.d. 4)";VIA;MARCONA;90;3080;4;latteria;16;8;;24
alimentare;bar latteria moka;"VIA VAL TROMPIA N. 15 ; isolato:027; accesso: accesso esterno; (z.d. 8)";VIA;VAL TROMPIA;15;7494;8;latteria;30;;;60
alimentare;bar latteria moka adi;"VIA F.LLI ANTONA TRAVERSI N. 23 ; isolato:059; accesso: accesso esterno; (z.d. 8)";VIA;F.LLI ANTONA TRAVERSI;23;7354;8;latteria;74;16;;90
alimentare;bar latteria oliva;"VIA CASELLA GIOVANNI BATTISTA N. 45 ; isolato:243; accesso: accesso esterno; (z.d. 8)";VIA;CASELLA GIOVANNI BATTISTA;45;7382;8;latteria;18;22;;40
alimentare;bar little italy;"VIA PIETRO DA CORTONA N. 13 ; isolato:189; accesso: accesso esterno; (z.d. 3)";VIA;PIETRO DA CORTONA;13;3311;3;latteria;44;25;22;47
alimentare;bar milano - pasticceria;"VLE DELLE RIMEMBRANZE DI LAMBRATE N. 9 ; isolato:113; accesso: accesso esterno; (z.d. 3)";VLE;DELLE RIMEMBRANZE DI LAMBRATE;9;2664;3;bar;34;;;34
alimentare;baronchelli pane;"CSO MAGENTA N. 27 ;cso magenta 027; isolato:340; accesso: accesso esterno; (z.d. 1)";CSO;MAGENTA;27;604;1;panificio (con forno);30;77;;107
alimentare;bar pasticceria;"PZA RISORGIMENTO N. 7 ; isolato:177; accesso: accesso esterno; (z.d. 3)";PZA;RISORGIMENTO;7;3117;3;pasticceria;32;32;;64
alimentare;bar pasticceria;"VIA CELLINI BENVENUTO N. 1 ; isolato:033; accesso: accesso esterno; (z.d. 4)";VIA;CELLINI BENVENUTO;1;3081;4;pasticceria;91;36;;127
alimentare;bar pasticceria;"VLE BLIGNY N. 29 ; isolato:090; accesso: accesso esterno; (z.d. 5)";VLE;BLIGNY;29;4045;5;pasticceria;98;;;195
alimentare;bar-pasticceria;"VIA CAROZZI GIUSEPPE N. 18 ; isolato:045; accesso: accesso esterno; (z.d. 6)";VIA;CAROZZI GIUSEPPE;18;6661;6;pasticceria;108;13;;121
alimentare;bar pasticceria lom.cor.;"VIA MARGHERA N. 10 ; isolato:194; accesso: accesso esterno; (z.d. 7)";VIA;MARGHERA;10;6280;7;pasticceria;49;;;80
alimentare;bar pasticceria mario;"VIA MOSSOTTI OTTAVIANO FABRIZIO N. 1 ; isolato:163; accesso: accesso esterno; (z.d. 9)";VIA;MOSSOTTI OTTAVIANO FABRIZIO;1;1402;9;bar;50;30;;80
alimentare;bar pasticceria panarello;"PZA SAN NAZARO IN BROLO N. 15 ;pza san nazaro in brolo 015; isolato:269; accesso: accesso esterno; (z.d. 1)";PZA;SAN NAZARO IN BROLO;15;353;1;pasticceria;60;320;;380
alimentare;bar pasticceria rene;"VIA VARE' GIOVANNI BATTISTA N. 28 ; isolato:029; accesso: accesso esterno; (z.d. 9)";VIA;VARE' GIOVANNI BATTISTA;28;1245;9;pasticceria;45;6;;51
alimentare;bar pasticceria tre marie;"VLE MONTE NERO N. 46 ; isolato:110; accesso: accesso esterno; (z.d. 4)";VLE;MONTE NERO;46;3062;4;pasticceria;46;;;58
alimentare;bar pasticc.torta sovrana;"CSO LODI N. 24 ; isolato:198; accesso: accesso esterno; (z.d. 5)";CSO;LODI;24;4068;5;pasticceria - gelateria;25;35;;60
alimentare;bar piccolo mondo;"VIA CARNEVALI ANTONIO N. 11 ; isolato:057; accesso: accesso esterno; (z.d. 9)";VIA;CARNEVALI ANTONIO;11;1268;9;latteria;20;;;20
alimentare;bar - prod. motta;"VLE UMBRIA N. 50 ; isolato:121; accesso: accesso esterno; (z.d. 4)";VLE;UMBRIA;50;3145;4;latteria;90;20;45;65
alimentare;bar pub pizzeria;"VIA BRIVIO CESARE N. 13 ; isolato:046; accesso: accesso esterno; (z.d. 9)";VIA;BRIVIO CESARE;13;1502;9;bar;33;27;;60
alimentare;bar samovar;"VIA VENEZIAN GIACOMO N. 14 ; isolato:140; accesso: accesso esterno; (z.d. 3)";VIA;VENEZIAN GIACOMO;14;2227;3;bar;90;16;;106
alimentare;bar sesio;"VIA PASCOLI GIOVANNI N. 2 ; isolato:129; accesso: accesso esterno; (z.d. 3)";VIA;PASCOLI GIOVANNI;2;3132;3;bar;20;14;;34
alimentare;bar settimo;"VLE SARCA N. 163 ; isolato:050; accesso: accesso esterno; (z.d. 9)";VLE;SARCA;163;1427;9;bar;30;25;;55
alimentare;bar simona;"VLE ZARA N. 114 ; isolato:086; accesso: accesso esterno; (z.d. 2)";VLE;ZARA;114;1170;2;latteria;20;18;;38
alimentare;bar sorriso;"VIA STRADELLA ALESSANDRO N. 15 ; isolato:048; accesso: accesso esterno; (z.d. 3)";VIA;STRADELLA ALESSANDRO;15;2170;3;latteria;50;18;25;43
alimentare;bar stendhal;"VIA STENDHAL ENRICO N. 57 ; isolato:005; accesso: accesso esterno; (z.d. 6)";VIA;STENDHAL ENRICO;57;5135;6;pasticceria;5;;;56
alimentare;bar tabacchi;"VIA VAL DI SOLE N. 22 ; isolato:166; accesso: accesso esterno; (z.d. 5)";VIA;VAL DI SOLE;22;4295;5;bar;94;10;;104
alimentare;bar torrefazione;"VIA PLINIO CAIO SECONDO N. 33 ; isolato:051; accesso: accesso esterno; (z.d. 3)";VIA;PLINIO CAIO SECONDO;33;2144;3;bar;22;16;;38
alimentare;bar-torrefazione;"VIA PIERO DELLA FRANCESCA N. 8 ; isolato:058; accesso: accesso esterno; (z.d. 8)";VIA;PIERO DELLA FRANCESCA;8;7188;8;bar;50;40;;90
alimentare;bar torrefazione pasticce;"VIA DEI PANIGAROLA N. 1 ; isolato:128; accesso: accesso esterno; (z.d. 4)";VIA;DEI PANIGAROLA;1;4284;4;bar;33;12;;45
alimentare;bar trattoria mauro luisa;"VLE DELLE RIMEMBRANZE DI LAMBRATE N. 7 ; isolato:113; accesso: accesso esterno; (z.d. 3)";VLE;DELLE RIMEMBRANZE DI LAMBRATE;7;2664;3;bar;60;5;;65
alimentare;belluschi pasticceria;"CSO MAGENTA N. 87 ;cso magenta 087; isolato:068; accesso: accesso esterno; (z.d. 1)";CSO;MAGENTA;87;604;1;pasticceria;100;140;;240
alimentare;best time;"VIA IMBONATI CARLO N. 56 ; isolato:053; (z.d. 9)";VIA;IMBONATI CARLO;56;1311;9;bibite e bevande analcoliche;25;;;25
alimentare;bevande;"VIA ENNIO N. 30 ; isolato:123; accesso: accesso esterno; (z.d. 4)";VIA;ENNIO;30;4090;4;vini - olii e liquori in recip;20;;;0
alimentare;bevande;"VIA LORENTEGGIO N. 163 ; isolato:138; accesso: accesso esterno; (z.d. 6)";VIA;LORENTEGGIO;163;5132;6;vini - olii e liquori in recip;35;;;35
alimentare;bevande,alcoolici;"VIA PETRELLA ERRICO num.004/6; accesso: accesso esterno; (z.d. 3)";VIA;PETRELLA ERRICO;;2137;3;vini - olii e liquori in recip;6;;;42
alimentare;bibite birra(pizzeria);"VIA TOLSTOI LEONE N. 102 ; isolato:042; accesso: accesso esterno; (z.d. 6)";VIA;TOLSTOI LEONE;102;5133;6;trattoria;17;;;17
alimentare;bibite e gelati confezion;"VIA TORINO N. 57 ;via torino 057; isolato:399; accesso: accesso esterno; (z.d. 1)";VIA;TORINO;57;543;1;bibite e bevande analcoliche;25;;;63
alimentare;biffi;"VIA FOSCOLO UGO N. 3 tab.vii in bar;gll vittorio emanuele 000; isolato:471; accesso: accesso esterno; (z.d. 1)";VIA;FOSCOLO UGO;3;205;1;bar;115;;;115
alimentare;bindi;"PLE CADORNA LUIGI N. 9 ;ple cadorna luigi 009; isolato:236; accesso: accesso esterno; (z.d. 1)";PLE;CADORNA LUIGI;9;601;1;bar;145;;;145
alimentare;bolin snc. di shu jingcon;"VIA ROSMINI ANTONIO N. 8 ; isolato:114; accesso: accesso esterno; (z.d. 1)";VIA;ROSMINI ANTONIO;8;7132;1;alimentari internazionali;30;;;100
alimentare;bonta del giorno;"VLE SABOTINO N. 16 ; isolato:111; accesso: accesso esterno; (z.d. 5)";VLE;SABOTINO;16;4046;5;posteria - bazar;22;;;110
alimentare;bonta piu;"VIA LORENTEGGIO N. 155 ; isolato:139; accesso: accesso esterno; (z.d. 6)";VIA;LORENTEGGIO;155;5132;6;drogheria;218;;;218
alimentare;bottega del caffe;"VIA CALVAIRATE N. 1 ; isolato:085; accesso: accesso esterno; (z.d. 4)";VIA;CALVAIRATE;1;3225;4;caffe crudo e torrefatto;30;;;30
alimentare;bottega della pizza;"VIA BODONI GIAMBATTISTA num.009/4; isolato:298; accesso: accesso esterno; (z.d. 8)";VIA;VARESINA;35;7290;8;panineria - focacceria;30;55;;85
alimentare;bottega delle carni;"VIA VENINI GIULIO E CORRADO N. 61 ; isolato:329; accesso: accesso esterno; (z.d. 2)";VIA;VENINI GIULIO E CORRADO;61;2258;2;macelleria;49;15;;64
alimentare;boutique del pane;"VIA F.LLI ROSSELLI N. 1 ; isolato:031; accesso: accesso esterno; (z.d. 4)";VIA;F.LLI ROSSELLI;1;4181;4;panetteria;32;;;70
alimentare;br alimentari le querce;"VIA FORNI GEROLAMO N. 36 ; isolato:036; accesso: accesso esterno; (z.d. 9)";VIA;FORNI GEROLAMO;36;1677;9;latteria;65;;;65
alimentare;buona fortuna;"VIA SOLARI ANDREA N. 23 ; isolato:025; accesso: accesso esterno; (z.d. 6)";VIA;SOLARI ANDREA;23;5111;6;salumeria - rosticceria - cibi;22;10;;32
alimentare;cafe  el mundo;"VIA MAROCCO PIETRO N. 10 ; isolato:341; accesso: accesso esterno; (z.d. 2)";VIA;MAROCCO PIETRO;10;2265;2;caffe crudo e torrefatto;35;;;35
alimentare;cafe  saint george;"VIA TORINO N. 56 ;via torino 056; isolato:401; accesso: accesso esterno; (z.d. 1)";VIA;TORINO;56;543;1;pasticceria;27;50;;77
alimentare;caffe  al campiello;"CSO VENEZIA N. 45 ;cso venezia 045; isolato:095; accesso: accesso esterno; (z.d. 1)";CSO;VENEZIA;45;238;1;bar;110;36;;146
alimentare;caffe - bar;"VIA BARRILI  ANTON GIULIO N. 24 ; isolato:036; accesso: accesso esterno; (z.d. 5)";VIA;BARRILI  ANTON GIULIO;24;5324;5;bar;38;40;;78
alimentare;caffe  bon bon;"VIA BRERA num.005; accesso: accesso esterno; (z.d. 1)";VIA;BRERA;;122;1;bar;30;;;30
alimentare;caffe  buonarroti;"mm1 buonar codvia 9118 num.000 ; isolato:998; accesso: accesso interno; (z.d. 7)";VIA;OSOPPO;5;6596;7;bar;50;;;50
alimentare;caffe delle colonne;"CSO MATTEOTTI GIACOMO N. 11 ;cso matteotti giacomo 011; isolato:263; accesso: accesso esterno; (z.d. 1)";CSO;MATTEOTTI GIACOMO;11;218;1;bar;35;45;;80
alimentare;caffe  e dolciumi;"VIA SPERONARI N. 3 ;via speronari 003; isolato:446; accesso: accesso esterno; (z.d. 1)";VIA;SPERONARI;3;517;1;caffe crudo e torrefatto;68;;;152
alimentare;caffe e prodotti da bar;"VIA DOLCI CARLO N. 16 ; isolato:252; accesso: accesso esterno; (z.d. 7)";VIA;DOLCI CARLO;16;6555;7;caffe crudo e torrefatto;6;;;46
alimentare;caffe  ottolina;"VIA DECEMVIRI N. 20 ; isolato:276; accesso: accesso interno; (z.d. 4)";VIA;DECEMVIRI;20;3310;4;caffe crudo e torrefatto;65;;;65
alimentare;caffe  piazza;"VIA SETTEMBRINI LUIGI N. 30 ; isolato:041; accesso: accesso esterno; (z.d. 3)";VIA;SETTEMBRINI LUIGI;30;2127;3;bar;35;55;;90
alimentare;caffe portioli (torrefaz);"VIA ASELLI GASPARE N. 5 ; isolato:194; accesso: accesso esterno; (z.d. 3)";VIA;ASELLI GASPARE;5;3167;3;pasticceria;5;31;;36
alimentare;caffe  royal;"VIA AGNELLO N. 2 ;via agnello 002; isolato:385; accesso: accesso esterno; (z.d. 1)";VIA;AGNELLO;2;209;1;pasticceria;30;;;30
alimentare;caffeteria ambrosiana;"VIA VAL DI LEDRO N. 11 ; isolato:067; accesso: accesso esterno; (z.d. 9)";VIA;VAL DI LEDRO;11;1532;9;bar;28;;;28
alimentare;caffetteria barocco;"VIA MONTI VINCENZO num.029/33; isolato:231; accesso: accesso esterno; (z.d. 1)";VIA;SANTA MARIA ALLA PORTA;11;620;1;bar;44;;;44
alimentare;caffetteria mondino;"VIA GIUSTI GIUSEPPE N. 14 ; isolato:114; accesso: accesso esterno; (z.d. 1)";VIA;GIUSTI GIUSEPPE;14;7127;1;latteria;23;10;;33
alimentare;caffett.latteria da maria;"VIA PIANELL SALVATORE N. 63 ; isolato:138; accesso: accesso esterno; (z.d. 9)";VIA;PIANELL SALVATORE;63;1426;9;latteria;35;7;;42
alimentare;callegaro sas.;"PZA BOLIVAR SIMONE N. 4 ; isolato:085; accesso: accesso esterno; (z.d. 6)";PZA;BOLIVAR SIMONE;4;6129;6;dolciumi;45;;;45
alimentare;caramelle caffe cioccolat;"PZA BOLIVAR SIMONE N. 3 ; isolato:152; (z.d. 6)";PZA;BOLIVAR SIMONE;3;6129;6;caffe crudo e torrefatto;20;;;0
alimentare;carne,prod.alim.deriv.for;"VIA REMBRANDT N. 22 ; isolato:287; accesso: accesso esterno; (z.d. 7)";VIA;REMBRANDT;22;6618;7;macelleria;23;;;23
alimentare;carne si;"VIA MILLELIRE DOMENICO N. 14 ; isolato:106; accesso: accesso esterno; (z.d. 7)";VIA;MILLELIRE DOMENICO;14;6620;7;macelleria;100;;;100
alimentare;carni equine,struzzo cang;"PLE LAGOSTA N. 7 interno merc. comun. coperto; accesso: accesso interno; (z.d. 9)";PLE;LAGOSTA;7;1155;9;macelleria equine;13;1;;14
alimentare;carni pregiate;"VIA DEL CARAVAGGIO N. 12 ; isolato:009; accesso: accesso esterno; (z.d. 6)";VIA;DEL CARAVAGGIO;12;6103;6;macelleria;28;8;;36
alimentare;carni pregiate;"VIA MASOLINO DA PANICALE N. 2 ; isolato:301; accesso: accesso esterno; (z.d. 8)";VIA;MASOLINO DA PANICALE;2;7264;8;macelleria;29;8;;37
alimentare;carni pronte;"VLE DELLE RIMEMBRANZE DI GRECO N. 40 ; isolato:073; accesso: accesso esterno; (z.d. 2)";VLE;DELLE RIMEMBRANZE DI GRECO;40;1412;2;macelleria;37;;;48
alimentare;casa del caffe (bar);"VIA CESARIANO CESARE N. 8 ; isolato:117; accesso: accesso esterno; (z.d. 1)";VIA;CESARIANO CESARE;8;7113;1;bar;20;;;0
alimentare;casa della carne;"CSO GARIBALDI GIUSEPPE N. 11 ; isolato:243; accesso: accesso esterno; (z.d. 1)";CSO;GARIBALDI GIUSEPPE;11;1010;1;macelleria;47;8;;55
alimentare;casa del pane;"CSO VENTIDUE MARZO N. 22 ; isolato:047; accesso: accesso esterno; (z.d. 4)";CSO;VENTIDUE MARZO;22;3074;4;panificio (con forno);40;56;;96
alimentare;casa del pane;"PZA DERGANO N. 2 ; isolato:058; accesso: accesso esterno; (z.d. 9)";PZA;DERGANO;2;1500;9;panificio (con forno);20;25;;45
alimentare;casa del pane;"VIA CASCINA BIANCA N. 24 ; isolato:132; accesso: accesso esterno; (z.d. 6)";VIA;CASCINA BIANCA;24;5454;6;panetteria;54;;;54
alimentare;casa del pane;"VIA DAL POZZO TOSCANELLI PAOLO N. 1 ; isolato:233; accesso: accesso esterno; (z.d. 2)";VIA;DAL POZZO TOSCANELLI PAOLO;1;2516;2;panificio (con forno);44;44;;88
alimentare;casa del pane;"VIA DELLE FORZE ARMATE N. 232 ; isolato:169; accesso: accesso esterno; (z.d. 7)";VIA;DELLE FORZE ARMATE;232;6643;7;panificio (con forno);18;100;;118
alimentare;casa del pane snc.;VIA DELLE BETULLE N. 30 (z.d. 7);VIA;DELLE BETULLE;30;6828;7;panificio (con forno);40;54;;94
alimentare;casaro doc;"VIA GUANELLA DON LUIGI N. 1 ; isolato:101; accesso: accesso esterno; (z.d. 2)";VIA;GUANELLA DON LUIGI;1;2473;2;formaggi e fattorie;45;5;;50
alimentare;centro carni bovisa;"VIA BALDINUCCI FILIPPO N. 98 ; isolato:034; accesso: accesso esterno; (z.d. 9)";VIA;BALDINUCCI FILIPPO;98;1267;9;macelleria;61;10;61;71
alimentare;centro pizza;"VIA BOTTICELLI SANDRO N. 1 ; isolato:135; accesso: accesso esterno; (z.d. 3)";VIA;BOTTICELLI SANDRO;1;3203;3;salumeria - rosticceria - cibi;47;;;47
alimentare;christian corporation srl;"VIA GIACOSA GIUSEPPE N. 50 ; isolato:311; accesso: accesso esterno; (z.d. 2)";VIA;GIACOSA GIUSEPPE;50;2310;2;pasticceria;100;;;120
alimentare;cibi asiatici;"VIA CASTALDI PANFILO N. 29 ; isolato:129; accesso: accesso esterno; (z.d. 3)";VIA;CASTALDI PANFILO;29;2119;3;alimentari internazionali;40;;;50
alimentare;cina snack bar;"VIA ROSMINI ANTONIO N. 9 ; isolato:110; accesso: accesso esterno; (z.d. 1)";VIA;ROSMINI ANTONIO;9;7132;1;salumeria - rosticceria - cibi;21;4;;25
alimentare;comptoir de france;"CSO DI PORTA ROMANA N. 131 ; isolato:038; accesso: accesso esterno; (z.d. 1)";CSO;DI PORTA ROMANA;131;402;1;bibite e bevande analcoliche;75;31;;106
alimentare;corral 3000 srl.;"GLL PATTARI N. 2 gestione da fallimento;gll pattari 002; isolato:420; accesso: accesso esterno; (z.d. 1)";GLL;PATTARI;2;296;1;pasticceria;12;;;12
alimentare;crazy bull caffe;"PTA PATTARI N. 2 ;pta pattari 002; isolato:387; accesso: accesso esterno; (z.d. 1)";PTA;PATTARI;2;299;1;abbigliamento;58;;;58
alimentare;cremeria buonarroti;"VIA BUONARROTI MICHELANGELO N. 9 ; isolato:194; accesso: accesso esterno; (z.d. 7)";VIA;BUONARROTI MICHELANGELO;9;6253;7;pasticceria - gelateria;70;78;;148
alimentare;cugluf;"VIA HAYEZ FRANCESCO N. 13 ; isolato:067; accesso: accesso esterno; (z.d. 3)";VIA;HAYEZ FRANCESCO;13;2172;3;rosticceria;23;;;23
alimentare;da claudio pescheria;"VIA PONTE VETERO N. 16 ;via ponte vetero 016; isolato:307; accesso: accesso esterno; (z.d. 1)";VIA;PONTE VETERO;16;718;1;pescheria;160;110;;270
alimentare;daewon;"VLE SONDRIO N. 2 ; isolato:196; accesso: accesso esterno; (z.d. 2)";VLE;SONDRIO;2;1212;2;drogheria;35;;;35
alimentare;dal fornaio;"PZA SANTA MARIA DEL SUFFRAGIO N. 3 ; isolato:037; accesso: accesso esterno; (z.d. 4)";PZA;SANTA MARIA DEL SUFFRAGIO;3;3078;4;panificio (con forno);25;80;;105
alimentare;dal fornaio;"VIA MECENATE N. 30 ; isolato:073; accesso: accesso esterno; (z.d. 4)";VIA;MECENATE;30;3323;4;panificio (con forno);35;;;35
alimentare;dal fornaio;"VIA POLA N. 21 ; isolato:279; accesso: accesso esterno; (z.d. 9)";VIA;POLA;21;1156;9;panificio (con forno);36;56;;92
alimentare;dal fornaio;"VLE SABOTINO N. 10 ; isolato:171; accesso: accesso esterno; (z.d. 5)";VLE;SABOTINO;10;4046;5;panificio (con forno);50;30;;80
